Site,Reporting period,Males tested,Females non-pregnant,Females pregnant,Children below 12 mths (Age group A),Children 12 mths - 14 yrs (Age group B),Young adults 15-24 years (Age group C),Older adults 25+ yrs (Age group D),PITC,Family Referral Slip (FRS),"Other (VCT, etc_) HTC access",Never tested before,Last negative,Last positive,Last exposed infant,Last inconclusive,Counseled with partner / partner present,Counseled alone / Partner not present,Single test negative,Single test positive,Test 1&2 negative,Test 1&2 positive,Test 1&2 discordant,New negative,New positive,New exposed infants,New inconclusive,Confirmatory positive,Confirmatory inconclusive
Kamboni Health Centre,201706,27,7,31,0,0,34,31,55,0,10,16,47,2,0,0,46,19,63,0,0,2,0,63,0,0,0,2,0
Khola Health Centre,201704,178,65,86,0,15,159,155,227,0,102,110,207,10,2,0,142,187,312,0,0,17,0,312,7,0,0,10,0
Khola Health Centre,201705,260,117,81,0,67,198,193,310,33,115,161,290,6,0,1,160,298,444,0,0,12,2,444,6,0,2,6,0
Khola Health Centre,201706,115,106,61,0,8,110,164,176,9,97,60,215,6,1,0,143,139,270,0,0,12,0,270,6,0,0,6,0
Chamwabvi Dispensary,201704,81,44,19,0,13,43,88,48,0,96,36,106,2,0,0,37,107,139,0,0,5,0,139,3,0,0,2,0
Chamwabvi Dispensary,201705,152,54,54,0,10,117,133,131,0,129,66,192,2,0,0,107,153,254,0,0,5,1,254,3,0,1,2,0
Chamwabvi Dispensary,201706,57,36,23,0,9,40,67,44,0,72,20,96,0,0,0,51,65,113,0,0,1,2,113,1,0,2,0,0
Ofesi Dispensary,201704,94,36,72,0,5,82,115,157,0,45,33,168,1,0,0,89,113,197,0,0,5,0,197,4,0,0,1,0
Ofesi Dispensary,201705,83,35,78,1,13,54,128,163,0,33,60,133,3,0,0,122,74,189,0,0,5,2,189,2,0,2,3,0
Ofesi Dispensary,201706,79,21,81,0,2,80,99,140,0,41,42,134,4,0,1,121,60,168,0,0,8,5,168,4,0,5,4,0
Gogode Dispensary,201704,39,20,29,0,4,36,48,59,0,29,18,68,1,0,1,48,40,83,0,0,4,1,83,3,0,1,1,0
Gogode Dispensary,201705,53,30,44,0,2,56,69,79,0,48,29,95,3,0,0,68,59,124,0,0,3,0,124,0,0,0,3,0
Gogode Dispensary,201706,30,20,28,0,3,22,53,57,0,21,14,61,3,0,0,62,16,73,0,0,5,0,73,2,0,0,3,0
Mkhota Rural Growth Health Centre,201704,50,23,49,0,3,43,76,95,0,27,20,100,2,0,0,88,34,118,0,0,3,1,118,1,0,1,2,0
Mkhota Rural Growth Health Centre,201705,50,31,38,0,2,45,72,72,0,47,20,98,1,0,0,84,35,114,0,0,4,1,114,3,0,1,1,0
Mkhota Rural Growth Health Centre,201706,59,11,53,0,0,57,66,100,0,23,20,102,1,0,0,88,35,122,0,0,1,0,122,0,0,0,1,0
Mziza Health Centre,201704,197,15,0,0,49,104,59,181,0,31,133,74,5,0,0,6,206,205,0,0,7,0,205,2,0,0,5,0
Mziza Health Centre,201705,5,23,0,0,2,3,23,3,0,25,2,24,2,0,0,2,26,24,0,0,4,0,24,2,0,0,2,0
Mziza Health Centre,201706,35,12,0,0,2,25,20,27,0,20,14,33,0,0,0,6,41,47,0,0,0,0,47,0,0,0,0,0
Mdunga Health Centre,201704,48,20,53,0,2,62,57,53,0,68,93,28,0,0,0,89,32,118,0,0,1,2,118,1,0,2,0,0
Mdunga Health Centre,201705,51,18,79,1,1,67,79,79,0,69,104,44,0,0,0,92,56,144,0,1,2,1,145,2,0,1,0,0
Mdunga Health Centre,201706,44,16,70,0,3,55,72,67,0,63,77,52,1,0,0,63,67,125,0,0,3,2,125,2,0,2,1,0
Lodjwa Health Centre,201704,30,18,33,0,1,38,42,53,0,28,21,59,1,0,0,49,32,78,0,0,3,0,78,2,0,0,1,0
Lodjwa Health Centre,201705,14,11,10,0,1,17,17,27,0,8,13,22,0,0,0,15,20,35,0,0,0,0,35,0,0,0,0,0
Lodjwa Health Centre,201706,27,21,12,0,1,31,28,10,0,50,16,43,0,0,1,10,50,57,0,0,3,0,57,3,0,0,0,0
Yankho Private Clinic,201704,27,24,1,0,1,5,46,7,0,45,6,45,1,0,0,18,34,45,0,0,6,1,45,5,0,1,1,0
Yankho Private Clinic,201705,35,28,2,0,5,12,48,11,4,50,12,53,0,0,0,10,55,51,0,0,14,0,51,14,0,0,0,0
Yankho Private Clinic,201706,36,31,4,0,2,23,46,5,2,64,20,51,0,0,0,23,48,58,0,0,12,1,58,12,0,1,0,0
Mnyanja Health Centre,201704,80,39,121,0,0,92,148,136,0,104,2,234,4,0,0,142,98,231,0,0,8,1,231,4,0,1,4,0
Mnyanja Health Centre,201705,149,139,76,0,42,172,150,86,0,278,94,267,2,1,0,136,228,360,0,0,4,0,358,2,2,0,2,0
Mnyanja Health Centre,201706,79,39,122,0,1,105,134,185,0,55,16,223,1,0,0,159,81,233,0,0,6,1,233,5,0,1,1,0
Kasalika Health Centre,201704,29,146,116,0,19,146,126,272,0,19,92,195,4,0,0,34,257,280,0,0,10,1,280,7,0,1,3,0
Kasalika Health Centre,201705,34,72,154,0,22,120,118,209,0,51,47,213,0,0,0,15,245,248,0,0,12,0,248,5,0,0,7,0
Kasalika Health Centre,201706,23,59,108,0,2,97,91,145,0,45,48,139,3,0,0,26,164,177,0,0,13,0,177,7,0,1,5,0
Fpam Clinic Kasungu,201704,225,207,5,0,3,152,282,3,0,434,64,352,20,1,0,144,293,395,0,0,42,0,394,22,1,0,20,0
Fpam Clinic Kasungu,201705,134,140,5,0,0,89,190,5,0,274,49,220,10,0,0,73,206,258,0,0,20,1,258,10,0,1,10,0
Fpam Clinic Kasungu,201706,159,145,9,0,3,99,211,1,0,312,44,246,23,0,0,94,219,270,0,0,43,0,271,18,1,0,23,0
Ntchisi District Hospital,201704,481,733,329,62,274,491,716,1020,1,522,412,1113,16,0,2,213,1330,1498,0,0,41,4,1498,25,0,4,16,0
Ntchisi District Hospital,201705,545,569,374,49,213,543,683,1076,2,410,355,1103,29,0,1,328,1160,1438,0,0,48,2,1438,18,1,2,29,0
Ntchisi District Hospital,201706,378,485,288,62,159,375,555,829,2,320,297,835,17,0,2,250,901,1115,0,0,31,5,1115,14,0,5,17,0
Kangolwa Health Centre,201704,69,70,110,0,6,119,124,119,2,128,52,192,5,0,0,37,212,237,0,0,11,1,237,6,0,1,5,0
Kangolwa Health Centre,201705,32,28,127,0,0,105,82,130,1,56,26,160,1,0,0,24,163,185,0,0,2,0,185,1,0,0,1,0
Kangolwa Health Centre,201706,50,51,81,0,2,82,98,84,3,95,26,153,3,0,0,39,143,174,0,0,6,2,174,3,0,2,3,0
Malomo Health Centre,201704,361,226,226,4,42,313,454,578,10,225,176,631,5,0,1,422,391,802,0,0,10,1,802,5,0,1,5,0
Malomo Health Centre,201705,338,162,256,1,18,330,407,552,2,202,149,598,9,0,0,436,320,736,0,0,18,2,736,9,0,2,9,0
Malomo Health Centre,201706,305,159,211,0,29,283,363,438,1,236,109,562,3,0,1,330,345,667,0,0,5,3,667,2,0,3,3,0
Nthondo Health Centre,201704,41,35,86,0,3,86,73,138,0,24,25,136,1,0,0,63,99,161,0,0,1,0,161,0,0,0,1,0
Nthondo Health Centre,201705,26,19,79,0,4,65,55,99,0,25,13,109,2,0,0,36,88,118,0,0,5,1,118,3,0,1,2,0
Nthondo Health Centre,201706,26,18,55,0,6,43,50,83,0,16,18,80,1,0,0,33,66,96,0,0,1,2,96,0,0,2,1,0
Kansonga Health Centre Ntchisi,201704,173,108,159,0,12,186,242,262,0,178,74,359,6,0,1,150,290,423,0,0,11,6,423,5,0,5,6,1
Kansonga Health Centre Ntchisi,201705,173,117,147,1,11,182,243,253,1,183,83,348,5,0,1,172,265,424,0,2,7,4,426,2,0,3,5,1
Kansonga Health Centre Ntchisi,201706,204,143,128,1,10,164,300,226,1,248,82,391,2,0,0,209,266,465,0,1,3,6,463,1,0,8,2,1
Chinguluwe Health Centre Ntchisi,201704,14,7,9,0,3,12,15,23,0,7,9,21,0,0,0,18,12,30,0,0,0,0,30,0,0,0,0,0
Chinguluwe Health Centre Ntchisi,201705,71,27,83,0,8,75,98,150,0,31,44,135,2,0,0,118,63,178,0,0,2,1,178,0,0,1,2,0
Chinguluwe Health Centre Ntchisi,201706,31,33,5,0,2,13,54,11,1,57,14,53,2,0,0,8,61,64,0,0,4,1,64,2,0,1,2,0
Chinthembwe Health Centre,201704,30,16,12,0,5,16,37,23,0,35,14,44,0,0,0,21,37,55,0,0,3,0,55,3,0,0,0,0
Chinthembwe Health Centre,201705,36,34,24,0,1,35,58,44,0,50,18,76,0,0,0,44,50,93,0,0,1,0,93,1,0,0,0,0
Chinthembwe Health Centre,201706,43,31,23,0,3,40,54,35,0,62,23,73,1,0,0,21,76,94,0,0,3,0,94,2,0,0,1,0
Khuwi Health Centre,201704,125,57,73,0,9,100,146,146,0,109,67,185,2,1,0,143,112,249,0,0,5,1,249,3,0,1,2,0
Khuwi Health Centre,201705,182,117,76,0,1,174,200,154,0,221,117,253,5,0,0,210,165,365,0,0,10,0,365,5,0,0,5,0
Khuwi Health Centre,201706,91,52,36,0,0,69,110,76,1,102,40,137,2,0,0,67,112,176,0,0,3,0,176,1,0,0,2,0
Mkhuzi Health Centre,201704,54,77,61,1,10,78,103,107,0,85,37,155,0,0,0,67,125,191,0,0,0,1,191,0,0,1,0,0
Mkhuzi Health Centre,201705,86,128,66,0,8,132,140,136,0,144,50,225,4,0,1,76,204,269,0,1,9,1,270,4,0,0,5,1
Mkhuzi Health Centre,201706,40,32,40,0,2,49,61,52,0,60,13,98,1,0,0,47,65,108,0,0,2,2,108,1,0,2,1,0
Mzandu Health Centre,201704,80,38,124,0,1,131,110,164,0,78,66,175,1,0,0,117,125,241,0,0,1,0,241,0,0,0,1,0
Mzandu Health Centre,201705,59,31,75,0,1,84,80,109,56,0,42,123,0,0,0,80,85,162,0,0,3,0,162,3,0,0,0,0
Mzandu Health Centre,201706,50,23,85,0,2,76,80,100,0,58,40,118,0,0,0,99,59,156,0,0,2,0,156,2,0,0,0,0
Malambo St Theresa Health Centre,201704,41,38,1,0,3,20,57,5,1,74,6,72,2,0,0,38,42,76,0,0,4,0,76,2,0,0,2,0
Malambo St Theresa Health Centre,201705,22,25,1,0,2,9,37,4,0,44,7,41,0,0,0,16,32,46,0,0,0,2,46,0,0,2,0,0
Malambo St Theresa Health Centre,201706,23,23,0,0,3,2,41,8,1,37,4,41,1,0,0,16,30,43,0,0,2,1,43,1,0,1,1,0
Dowa District Hospital,201704,148,200,152,0,51,195,254,385,0,115,147,348,4,0,1,84,416,487,0,0,12,1,487,8,0,1,3,1
Dowa District Hospital,201705,216,260,184,0,102,239,319,487,0,173,263,386,11,0,0,65,595,634,0,0,26,0,634,15,0,0,11,0
Dowa District Hospital,201706,198,315,212,0,98,264,363,507,0,218,229,484,12,0,0,100,625,705,0,1,18,1,706,6,0,0,12,1
Mtengowanthenga Community Hospital,201704,70,76,61,0,12,55,140,141,5,61,55,147,5,0,0,42,165,185,0,0,21,1,185,15,1,1,5,0
Mtengowanthenga Community Hospital,201705,93,102,56,0,7,56,188,141,0,110,63,181,6,0,1,56,195,214,0,1,31,5,215,25,1,4,6,0
Mtengowanthenga Community Hospital,201706,104,108,48,0,4,56,200,125,0,135,57,187,15,0,1,85,175,228,0,0,31,1,228,16,0,1,15,0
Mponela Rural Hospital,201704,211,275,245,1,66,276,388,496,0,235,203,500,26,0,2,170,561,680,0,2,46,3,682,20,0,3,26,0
Mponela Rural Hospital,201705,281,425,261,1,80,322,564,550,2,415,278,654,35,0,0,212,755,899,0,2,63,3,901,27,0,3,36,0
Mponela Rural Hospital,201706,273,504,265,0,58,377,607,647,8,387,249,759,33,0,1,230,812,978,0,4,60,0,980,27,0,2,33,0
Madisi Mission Hospital,201704,336,251,108,0,121,246,328,508,0,187,288,395,10,2,0,177,518,674,0,1,20,0,673,11,0,0,11,0
Madisi Mission Hospital,201705,270,410,109,0,153,232,404,568,0,221,276,497,15,0,1,105,684,760,0,0,24,5,760,9,0,4,15,1
Madisi Mission Hospital,201706,280,321,67,0,76,201,391,463,0,205,208,443,17,0,0,158,510,635,0,0,31,2,635,14,0,2,17,0
Mtengowanthenga Dream Project,201704,41,34,75,0,5,56,89,103,0,47,41,106,3,0,0,0,150,144,0,0,6,0,144,3,0,0,3,0
Mtengowanthenga Dream Project,201705,81,90,67,0,6,93,139,83,0,155,64,170,4,0,0,0,238,231,0,0,7,0,231,3,0,0,4,0
Mtengowanthenga Dream Project,201706,26,9,86,0,19,42,60,121,0,0,22,97,2,0,0,0,121,119,2,0,0,0,119,0,0,0,2,0
Dzaleka Health Centre,201704,107,128,215,1,15,171,263,254,0,196,182,262,6,0,0,57,393,438,0,0,11,1,438,5,0,1,6,0
Dzaleka Health Centre,201705,121,105,244,0,4,191,275,267,0,203,174,289,7,0,0,47,423,462,0,0,8,0,462,1,0,0,7,0
Dzaleka Health Centre,201706,109,89,204,0,6,163,233,222,2,178,129,257,12,2,2,67,335,383,0,0,18,1,383,6,0,1,12,0
Mvera Army Camp,201704,48,40,25,0,4,41,68,59,0,54,42,67,4,0,0,48,65,106,0,0,7,0,106,3,0,0,4,0
Mvera Army Camp,201705,168,118,38,0,9,153,162,80,0,244,103,214,7,0,0,72,252,315,0,0,9,0,315,3,0,0,6,0
Mvera Army Camp,201706,56,49,32,0,5,53,79,75,0,62,30,96,6,3,2,64,73,125,0,0,10,2,122,5,1,3,6,0
Chankhungu Health Centre,201704,121,105,112,0,20,158,160,222,0,116,139,192,7,0,0,86,252,322,0,1,13,2,323,6,0,2,7,0
Chankhungu Health Centre,201705,148,71,115,0,20,160,154,242,1,91,149,179,6,0,0,79,255,316,0,1,16,1,317,10,0,1,6,0
Chankhungu Health Centre,201706,139,105,128,0,7,208,157,289,2,81,128,232,12,0,0,95,277,350,0,0,21,1,350,9,0,1,12,0
Bowe Health Centre,201704,115,102,115,0,18,124,190,187,0,145,70,253,9,0,0,65,267,315,0,0,17,0,315,8,0,0,9,0
Bowe Health Centre,201705,129,137,136,0,16,166,220,238,0,164,99,298,5,0,0,74,328,393,0,0,0,9,393,4,0,0,5,0
Bowe Health Centre,201706,53,65,77,0,3,85,107,125,1,69,37,154,4,0,0,54,141,188,0,0,7,0,188,3,0,0,4,0
Kasese Health Centre,201704,108,58,81,0,6,80,161,162,0,85,53,191,3,0,0,170,77,239,0,0,7,1,239,4,0,1,3,0
Kasese Health Centre,201705,118,60,81,0,10,93,156,177,0,82,73,181,4,1,0,162,97,247,0,0,7,5,247,3,0,5,4,0
Kasese Health Centre,201706,107,43,87,1,6,80,150,170,0,67,52,172,11,0,2,167,70,212,0,2,21,2,214,10,0,2,11,0
Chakhadza Health Centre,201704,87,65,92,0,7,90,147,152,0,92,47,196,1,0,0,124,120,241,0,0,3,0,241,2,0,0,1,0
Chakhadza Health Centre,201705,86,34,57,0,0,85,92,139,0,38,55,122,0,0,0,97,80,175,0,0,2,0,175,2,0,0,0,0
Chakhadza Health Centre,201706,40,17,40,0,4,41,52,71,0,26,30,67,0,0,0,61,36,95,0,0,2,0,95,2,0,0,0,0
Chinkhwiri Health Centre,201704,149,10,2,0,10,96,55,161,0,0,90,67,4,0,0,6,155,158,0,0,3,0,155,2,0,0,4,0
Chinkhwiri Health Centre,201705,2,7,0,0,1,3,5,4,0,5,0,7,2,0,0,2,7,5,0,0,4,0,6,1,0,0,2,0
Chinkhwiri Health Centre,201706,9,15,15,0,5,13,21,39,0,0,6,26,5,2,0,4,35,37,0,0,2,0,31,3,0,0,5,0
Dzoole Health Centre,201704,37,53,60,0,6,54,90,69,0,81,31,115,4,0,0,75,75,145,0,0,5,0,143,3,0,0,4,0
Dzoole Health Centre,201705,63,21,41,0,6,73,46,104,0,21,33,88,4,0,0,63,62,115,0,0,10,0,114,7,0,0,4,0
Dzoole Health Centre,201706,30,30,29,0,3,36,50,73,0,16,10,79,0,0,0,58,31,89,0,0,0,0,89,0,0,0,0,0
Kayembe Health Centre,201704,57,73,79,0,2,77,130,164,0,45,36,168,5,0,0,51,158,199,0,0,10,0,198,6,0,0,5,0
Kayembe Health Centre,201705,27,32,51,0,3,46,61,94,0,16,36,73,1,0,0,20,90,108,0,0,2,0,108,1,0,0,1,0
Kayembe Health Centre,201706,79,65,18,1,8,62,91,124,0,38,59,94,9,0,0,38,124,144,0,0,18,0,144,9,0,0,9,0
Msakambewa Health Centre,201704,35,28,36,0,0,42,57,0,0,99,61,37,1,0,0,55,44,96,0,0,3,0,96,2,0,0,1,0
Msakambewa Health Centre,201705,63,19,55,0,0,54,83,0,0,137,88,47,2,0,0,81,56,133,0,0,4,0,133,2,0,0,2,0
Msakambewa Health Centre,201706,67,22,39,0,0,64,64,0,0,128,57,69,2,0,0,62,66,126,0,0,2,0,126,0,0,0,2,0
Mvera Mission Hospital,201704,78,48,65,0,11,55,125,121,0,70,40,148,3,0,0,97,94,185,0,0,6,0,185,3,0,0,3,0
Mvera Mission Hospital,201705,80,73,71,0,14,86,124,146,0,78,49,171,4,0,0,116,108,217,0,0,7,0,217,3,0,0,4,0
Mvera Mission Hospital,201706,108,167,56,0,90,120,121,125,0,206,139,187,5,0,0,84,247,322,0,0,9,0,322,4,0,0,5,0
Thonje Health Centre,201704,39,35,43,1,6,48,62,80,0,37,25,84,8,0,0,54,63,106,0,0,11,0,106,3,0,0,8,0
Thonje Health Centre,201705,106,43,55,0,3,68,133,112,0,92,51,149,4,0,0,69,135,194,0,0,10,0,194,6,0,0,4,0
Thonje Health Centre,201706,26,14,28,0,1,19,48,48,1,19,19,48,1,0,0,32,36,65,0,0,2,1,65,1,0,1,1,0
Nalunga Mafika Health Centre,201704,60,12,74,1,2,95,48,137,0,9,87,58,1,0,0,90,56,142,0,0,3,1,142,2,0,1,1,0
Nalunga Mafika Health Centre,201705,57,14,29,0,1,49,50,89,2,9,40,58,2,0,0,31,69,97,0,0,3,0,97,1,0,0,2,0
Nalunga Mafika Health Centre,201706,43,9,35,0,0,44,43,79,0,8,51,35,1,0,0,52,35,85,0,0,2,0,85,1,0,0,1,0
Mbingwa Health Centre,201704,74,35,96,0,4,90,111,176,0,29,41,162,2,0,0,127,78,202,0,0,3,0,202,1,0,0,2,0
Mbingwa Health Centre,201705,137,33,76,0,8,95,143,204,0,42,96,145,4,1,0,132,114,240,0,0,6,0,239,2,0,1,4,0
Mbingwa Health Centre,201706,46,5,39,0,0,36,54,79,0,11,33,55,2,0,0,78,12,85,0,0,4,1,85,2,0,1,2,0
Chisepo Health Centre,201704,60,12,95,0,2,80,85,157,0,10,75,87,5,0,0,103,64,160,0,0,7,0,160,2,0,0,5,0
Chisepo Health Centre,201705,27,5,55,0,0,37,50,84,0,3,30,55,2,0,0,35,52,83,0,0,4,0,83,2,0,0,2,0
Chisepo Health Centre,201706,48,8,59,0,10,49,56,98,0,17,49,65,1,0,0,57,58,113,0,0,2,0,113,1,0,0,1,0
Chizolowondo Health Centre,201704,53,17,72,0,4,70,68,95,0,47,45,89,4,4,0,88,54,134,1,0,6,1,138,0,0,0,4,0
Chizolowondo Health Centre,201705,36,15,50,0,1,55,45,70,2,29,45,53,3,0,0,63,38,94,0,6,0,1,94,3,0,1,3,0
Chizolowondo Health Centre,201706,33,8,39,0,0,26,54,53,0,27,17,61,2,0,0,23,57,78,0,0,2,0,77,1,0,0,2,0
Fpam Clinic Dowa,201704,10,9,0,0,0,7,12,0,0,19,3,15,1,0,0,0,19,18,0,0,1,0,18,0,0,0,1,0
Fpam Clinic Dowa,201705,14,70,1,0,1,42,42,0,0,85,11,70,4,0,0,1,84,73,0,0,10,2,75,5,0,1,3,1
Fpam Clinic Dowa,201706,38,50,1,0,0,46,43,2,0,87,19,70,0,0,0,12,77,89,0,0,0,0,89,0,0,0,0,0
Mafco Health Centre,201704,353,32,5,0,192,133,65,28,0,362,277,103,10,0,0,10,380,375,0,0,15,0,375,5,0,0,10,0
Mafco Health Centre,201705,35,42,2,0,8,16,55,35,0,44,26,42,11,0,0,15,64,59,0,0,20,0,59,9,0,0,11,0
Mafco Health Centre,201706,21,22,2,0,5,15,25,20,0,25,8,33,4,0,0,5,40,38,0,0,7,0,38,3,0,0,4,0
Salima District Hospital,201704,830,1276,594,1,486,978,1235,2266,4,430,702,1879,117,0,2,238,2462,2507,0,2,191,0,2499,74,0,10,117,0
Salima District Hospital,201705,930,1500,728,0,516,1131,1511,2653,6,499,762,2247,145,0,4,336,2822,2891,0,3,248,16,2894,104,0,16,144,0
Salima District Hospital,201706,736,1172,629,3,379,933,1222,2223,6,308,649,1789,97,0,2,260,2277,2359,0,2,170,6,2362,73,0,5,97,0
Life Line Salima Health Centre,201704,178,283,91,1,49,165,337,418,1,133,101,416,32,0,3,65,487,488,0,1,60,3,489,28,0,3,32,0
Life Line Salima Health Centre,201705,496,668,112,3,515,287,471,1109,0,167,595,662,18,0,1,92,1184,1239,0,0,32,5,1239,14,0,5,18,0
Life Line Salima Health Centre,201706,255,309,96,4,75,202,379,540,0,120,163,473,20,0,4,78,582,624,0,1,33,2,624,14,0,2,20,0
Khombedza Health Centre,201704,246,361,257,0,113,358,393,726,8,130,166,671,25,0,2,125,739,819,0,0,44,1,819,19,0,1,25,0
Khombedza Health Centre,201705,263,394,252,0,121,393,395,753,7,149,187,692,28,0,2,123,786,854,0,2,52,1,856,25,0,1,27,0
Khombedza Health Centre,201706,223,404,260,1,94,360,432,759,3,125,167,702,18,0,0,123,764,849,0,2,36,0,851,16,0,2,18,0
Makiyoni Health Centre,201704,69,43,36,0,4,74,70,129,0,19,39,107,2,0,0,48,100,143,0,0,4,1,143,2,0,1,2,0
Makiyoni Health Centre,201705,160,166,133,0,17,214,228,362,0,97,84,369,5,0,1,201,258,451,0,0,8,0,451,3,0,0,5,0
Makiyoni Health Centre,201706,140,153,139,0,18,190,224,315,12,105,56,371,4,0,1,195,237,421,0,2,8,1,423,4,0,1,4,0
Chitala Health Centre,201704,104,52,77,0,11,105,117,96,0,137,40,186,5,2,0,126,107,223,0,0,10,0,223,5,0,0,5,0
Chitala Health Centre,201705,73,37,63,0,7,62,104,76,0,97,32,135,3,3,0,109,64,169,0,0,4,0,169,1,0,0,3,0
Chitala Health Centre,201706,73,28,58,0,2,57,100,60,1,98,22,131,5,0,1,96,63,148,0,0,10,1,148,5,0,0,5,1
Chagunda Health Centre,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chagunda Health Centre,201705,46,76,138,0,6,120,134,182,0,78,32,225,3,0,0,52,208,249,0,0,9,2,249,6,0,2,3,0
Chagunda Health Centre,201706,53,66,104,0,5,111,107,152,4,67,43,173,6,0,1,48,175,210,0,0,12,1,210,6,0,1,6,0
Lifuwu Health Centre,201704,114,150,59,0,78,116,129,175,0,148,114,189,20,0,0,20,303,285,0,1,37,0,286,16,0,0,21,0
Lifuwu Health Centre,201705,88,198,68,0,104,131,119,272,0,82,157,180,17,0,0,26,328,322,0,1,31,0,323,14,0,0,17,0
Lifuwu Health Centre,201706,176,253,79,0,152,187,169,275,0,233,221,270,17,0,0,31,477,476,0,1,30,1,476,13,0,1,17,1
Chipoka Health Centre,201704,100,166,70,2,33,134,167,209,0,127,63,261,12,0,0,36,300,314,0,1,21,0,315,9,0,0,12,0
Chipoka Health Centre,201705,100,152,77,0,26,133,170,181,7,141,60,255,14,0,0,36,293,302,0,0,26,1,302,12,0,1,14,0
Chipoka Health Centre,201706,89,82,151,0,13,161,148,188,2,132,39,269,14,0,0,40,282,295,0,0,26,1,295,12,0,1,14,0
Maganga Health Centre,201704,92,181,178,1,43,189,218,359,12,80,75,365,9,0,2,49,402,430,0,3,17,1,433,8,0,1,9,0
Maganga Health Centre,201705,115,223,165,0,54,197,252,390,15,98,89,396,15,0,3,45,458,471,0,2,28,2,473,13,0,2,15,0
Maganga Health Centre,201706,139,233,203,2,73,238,262,447,13,115,114,447,11,0,3,37,538,547,0,5,20,3,552,9,0,3,11,0
Mchoka Health Centre,201704,184,225,219,0,92,222,314,503,2,123,159,454,15,0,0,77,551,599,0,4,24,1,603,9,0,1,15,0
Mchoka Health Centre,201705,213,431,241,0,205,278,402,868,0,17,279,587,18,0,1,94,791,848,0,0,36,1,848,16,0,1,20,0
Mchoka Health Centre,201706,161,238,215,0,156,191,267,505,6,103,191,410,13,0,0,48,566,585,0,1,26,2,586,13,0,2,13,0
Ngodzi Health Centre,201704,82,50,75,0,4,77,126,128,3,76,33,161,13,0,0,97,110,182,0,0,25,0,182,12,0,0,13,0
Ngodzi Health Centre,201705,146,45,62,0,20,126,107,147,4,102,93,150,10,0,0,83,170,231,0,0,22,0,231,12,0,0,10,0
Ngodzi Health Centre,201706,59,45,41,0,6,59,80,73,0,72,31,109,5,0,0,56,89,133,0,0,12,0,133,6,0,0,6,0
Senga Bay Baptist Medical Clinic,201704,119,221,96,0,58,168,210,198,0,238,58,344,27,6,1,35,401,395,0,0,40,1,395,13,0,1,27,0
Senga Bay Baptist Medical Clinic,201705,185,350,274,0,89,332,388,398,0,411,87,684,38,0,0,39,770,749,0,0,60,0,749,22,0,0,38,0
Senga Bay Baptist Medical Clinic,201706,125,314,99,0,39,209,290,254,103,181,51,448,39,0,0,10,528,470,0,0,68,0,470,29,0,0,39,0
Thavite Health Centre,201704,65,135,114,0,20,136,158,226,0,88,34,269,10,0,1,54,260,290,0,0,19,5,290,9,0,5,10,0
Thavite Health Centre,201705,123,184,123,0,33,172,225,269,0,161,65,352,11,0,2,99,331,402,0,3,20,5,405,9,0,5,11,0
Thavite Health Centre,201706,120,175,124,0,31,159,229,276,0,143,67,340,11,0,1,120,299,395,0,2,18,4,396,8,0,4,11,0
Kaphatenga Health Centre,201704,19,10,11,0,1,17,22,18,0,22,4,35,1,0,0,16,24,35,0,1,4,0,36,3,0,0,1,0
Kaphatenga Health Centre,201705,29,27,17,0,4,34,35,43,0,30,16,52,5,0,0,24,49,62,0,0,9,2,62,4,0,2,5,0
Kaphatenga Health Centre,201706,33,28,17,0,4,25,49,31,1,46,6,70,2,0,0,23,55,74,0,0,4,0,74,2,0,0,2,0
Chinguluwe Health Centre Salima,201704,70,195,48,0,26,126,161,223,2,88,51,256,6,0,0,40,273,302,0,0,11,0,302,5,0,0,6,0
Chinguluwe Health Centre Salima,201705,87,261,73,0,21,205,195,326,5,90,38,377,6,0,0,75,346,409,0,1,11,0,410,5,0,0,6,0
Chinguluwe Health Centre Salima,201706,89,226,73,0,29,166,193,314,3,71,49,335,4,0,0,67,321,376,0,1,9,2,377,4,0,2,5,0
Parachute Battalion Clinic,201704,266,316,1,0,220,173,190,30,0,553,385,189,9,0,0,0,583,566,0,0,15,2,566,6,0,2,9,0
Parachute Battalion Clinic,201705,6,6,0,0,2,5,5,6,1,5,3,9,0,0,0,0,12,12,0,0,0,0,12,0,0,0,0,0
Parachute Battalion Clinic,201706,643,120,1,0,479,206,79,470,1,293,643,115,6,0,0,0,764,752,0,0,11,1,752,4,0,1,6,1
Katawa Health Centre,201704,14,15,12,0,6,12,23,21,0,20,14,27,0,0,0,6,35,40,0,0,1,0,40,0,0,0,1,0
Katawa Health Centre,201705,25,26,13,0,2,19,43,22,0,42,35,18,1,0,10,13,51,59,0,0,5,0,59,3,0,0,2,0
Katawa Health Centre,201706,23,21,20,0,2,16,46,30,0,34,20,42,1,0,1,9,55,57,0,0,6,1,57,4,0,0,2,1
Kamuzu Barracks,201704,149,91,21,0,10,59,192,170,0,91,30,212,19,0,0,70,191,234,0,0,27,0,234,8,0,0,19,0
Kamuzu Barracks,201705,138,133,15,0,21,73,192,171,0,115,66,209,10,0,1,11,275,264,0,0,20,2,264,10,0,2,10,0
